Adelidae,Adela ridingsella
Crambidae,Lygropia rivulalis
Crambidae,Microcrambus biguttellus
Crambidae,Microcrambus elegans
Crambidae,Microcrambus minor
Crambidae,Microtheoris ophionalis
Crambidae,Mimoschinia rufofascialis
Crambidae,Nascia acutellus
Crambidae,Neodactria caliginosellus
Crambidae,Neodactria luteolellus
Crambidae,Neodactria murellus
Crambidae,Neodactria zeellus
Crambidae,Neohelvibotys neohelvialis
Crambidae,Nephrogramma reniculalis
Crambidae,Nomophila nearctica
Crambidae,Ostrinia nubilalis
Crambidae,Ostrinia obumbratalis
Crambidae,Ostrinia penitalis
Crambidae,Palpita arsaltealis
Crambidae,Palpita magniferalis
Crambidae,Pantographa limata
Crambidae,Parapediasia decorellus
Crambidae,Parapediasia teterrellus
Crambidae,Parapoynx allionealis
Crambidae,Parapoynx badiusalis
Crambidae,Parapoynx obscuralis
Crambidae,Pediasia trisecta
Crambidae,Perispasta caeculalis
Crambidae,Petrophila bifascialis
Crambidae,Petrophila canadensis
Crambidae,Petrophila fulicalis
Crambidae,Pilocrocis ramentalis
Crambidae,Platytes vobisne
Crambidae,Pleuroptya silicalis
Crambidae,Polygrammodes flavidalis
Crambidae,Prionapteryx achatina
Crambidae,Pyrausta acrionalis
Crambidae,Pyrausta bicoloralis
Crambidae,Pyrausta generosa
Crambidae,Pyrausta inveterascalis
Crambidae,Pyrausta laticlavia
Crambidae,Pyrausta niveicilialis
Crambidae,Pyrausta onythesalis
Crambidae,Pyrausta orphisalis
Crambidae,Pyrausta phoenicealis
Crambidae,Pyrausta pseuderosnealis
Crambidae,Pyrausta rubricalis
Crambidae,Pyrausta signatalis
Crambidae,Pyrausta subsequalis
Crambidae,Pyrausta tyralis
Crambidae,Pyrausta unifascialis
Crambidae,Raphiptera argillaceellus
Crambidae,Samea ecclesialis
Crambidae,Saucrobotys fumoferalis
Crambidae,Saucrobotys futilalis
Crambidae,Scoparia basalis
Crambidae,Scoparia biplagialis
Crambidae,Sericoplaga externalis
Crambidae,Sitochroa chortalis
Crambidae,Sitochroa palealis
Crambidae,Spoladea recurvalis
Crambidae,Stegea eripalis
Crambidae,Terastia meticulosalis
Crambidae,Thaumatopsis edonis
Crambidae,Thaumatopsis pexellus
Crambidae,Thopeutis forbesellus
Crambidae,Udea rubigalis
Crambidae,Uresiphita reversalis
Crambidae,Urola nivalis
Crambidae,Xanthophysa psychialis
Crambidae,Xubida panalope
Depressariidae,Agonopterix alstroemeriana
Depressariidae,Agonopterix argillacea
Depressariidae,Agonopterix atrodorsella
Depressariidae,Agonopterix canadensis
Depressariidae,Agonopterix clemensella
Depressariidae,Agonopterix curvilineella
Depressariidae,Agonopterix dimorphella
Depressariidae,Agonopterix eupatoriiella
Depressariidae,Agonopterix flavicomella
Depressariidae,Agonopterix hyperella
Depressariidae,Agonopterix lythrella
Depressariidae,Agonopterix nebulosa
Depressariidae,Agonopterix nigrinotella
Depressariidae,Agonopterix paulae
Depressariidae,Agonopterix pteleae
Depressariidae,Agonopterix pulvipennella
Depressariidae,Agonopterix robiniella
Depressariidae,Agonopterix thelmae
Depressariidae,Agonopterix walsinghamella
Depressariidae,Antaeotricha humilis
Depressariidae,Antaeotricha leucillana
Depressariidae,Antaeotricha schlaegeri
Depressariidae,Depressaria cinereocostella
Depressariidae,Depressaria radiella
Depressariidae,Ethmia longimaculella
Depressariidae,Ethmia monticola
Depressariidae,Ethmia zelleriella
Depressariidae,Gonioterma mistrella
Depressariidae,Machimia tentoriferella
Depressariidae,Psilocorsis cryptolechiella
Depressariidae,Psilocorsis quercicella
Depressariidae,Psilocorsis reflexella
Depressariidae,Semioscopis aurorella
Depressariidae,Semioscopis inornata
Depressariidae,Semioscopis megamicrella
Depressariidae,Semioscopis merriccella
Depressariidae,Semioscopis packardella
Drepanidae,Drepana arcuata
Drepanidae,Drepana bilineata
Drepanidae,Eudeilinia herminiata
Drepanidae,Euthyatira pudens
Drepanidae,Habrosyne gloriosa
Drepanidae,Habrosyne scripta
Drepanidae,Oreta rosea
Drepanidae,Pseudothyatira cymatophoroides
Elachistidae,Chrysoclista linneella
Elachistidae,Elachista cucullata
Elachistidae,Elachista huron
Elachistidae,Elachista illectella
Elachistidae,Elachista irrorata
Elachistidae,Elachista madarella
Epermeniidae,Epermenia albapunctella
Epermeniidae,Epermenia imperialella
Erebidae,Allotria elonympha
Erebidae,Anomis erosa
Erebidae,Anticarsia gemmatalis
Erebidae,Apantesis anna
Erebidae,Apantesis arge
Erebidae,Apantesis carlotta
Erebidae,Apantesis figurata
Erebidae,Apantesis nais
Erebidae,Apantesis parthenice
Erebidae,Apantesis phalerata
Erebidae,Apantesis phyllira
Erebidae,Apantesis speciosa
Erebidae,Apantesis virgo
Erebidae,Apantesis virguncula
Erebidae,Apantesis vittata
Erebidae,Argyrostrotis anilis
Erebidae,Arugisa latiorella
Erebidae,Ascalapha odorata
Erebidae,Bleptina caradrinalis
Erebidae,Bleptina inferior
Erebidae,Bulia deducta
Erebidae,Caenurgia chloropha
Erebidae,Caenurgina crassiuscula
Erebidae,Caenurgina erechtea
Erebidae,Calyptra canadensis
Erebidae,Catocala abbreviatella
Erebidae,Catocala alabamae
Erebidae,Catocala amatrix
Erebidae,Catocala amestris
Erebidae,Catocala amica
Erebidae,Catocala andromedae
Erebidae,Catocala angusi
Erebidae,Catocala antinympha
Erebidae,Catocala blandula
Erebidae,Catocala cara
Erebidae,Catocala cerogama
Erebidae,Catocala clintonii
Erebidae,Catocala coccinata
Erebidae,Catocala concumbens
Erebidae,Catocala connubialis
Erebidae,Catocala consors
Erebidae,Catocala crataegi
Erebidae,Catocala dejecta
Erebidae,Catocala dulciola
Erebidae,Catocala epione
Erebidae,Catocala flebilis
Erebidae,Catocala gracilis
Erebidae,Catocala grynea
Erebidae,Catocala habilis
Erebidae,Catocala ilia
Erebidae,Catocala illecta
Erebidae,Catocala innubens
Erebidae,Catocala insolabilis
Erebidae,Catocala judith
Erebidae,Catocala junctura
Erebidae,Catocala lacrymosa
Erebidae,Catocala lineella
Erebidae,Catocala luctuosa
Erebidae,Catocala maestosa
Erebidae,Catocala marmorata
Erebidae,Catocala meskei
Erebidae,Catocala micronympha
Erebidae,Catocala minuta
Erebidae,Catocala mira
Erebidae,Catocala muliercula
Erebidae,Catocala nebulosa
Erebidae,Catocala neogama
Erebidae,Catocala nuptialis
Erebidae,Catocala obscura
Erebidae,Catocala palaeogama
Erebidae,Catocala parta
Erebidae,Catocala piatrix
Erebidae,Catocala praeclara
Erebidae,Catocala relicta
Erebidae,Catocala residua
Erebidae,Catocala retecta
Erebidae,Catocala robinsonii
Erebidae,Catocala serena
Erebidae,Catocala similis
Erebidae,Catocala sordida
Erebidae,Catocala subnata
Erebidae,Catocala ulalume
Erebidae,Catocala ultronia
Erebidae,Catocala umbrosa
Erebidae,Catocala unijuga
Erebidae,Catocala vidua
Erebidae,Catocala whitneyi
Erebidae,Celiptera frustulum
Erebidae,Chytolita morbidalis
Erebidae,Cisseps fulvicollis
Erebidae,Cissusa spadix
Erebidae,Cisthene plumbea
Erebidae,Clemensia albata
Erebidae,Colobochyla interpuncta
Erebidae,Crambidia casta
Erebidae,Crambidia pallida
Erebidae,Crambidia uniformis
Erebidae,Ctenucha virginica
Erebidae,Cycnia collaris
Erebidae,Cycnia oregonensis
Erebidae,Cycnia tenera
Erebidae,Dasychira basiflava
Erebidae,Dasychira cinnamomea
Erebidae,Dasychira dorsipennata
Erebidae,Dasychira grisefacta
Erebidae,Dasychira manto
Erebidae,Dasychira obliquata
Erebidae,Dasychira tephra
Erebidae,Dasychira vagans
Erebidae,Dodia albertae
Erebidae,Drasteria grandirena
Erebidae,Drasteria graphica
Erebidae,Drasteria howlandii
Erebidae,Dyspyralis nigellus
Erebidae,Estigmene acrea
Erebidae,Euchaetes egle
Erebidae,Euparthenos nubilis
Erebidae,Gabara subnivosella
Erebidae,Halysidota tessellaris
Erebidae,Haploa clymene
Erebidae,Haploa confusa
Erebidae,Haploa contigua
Erebidae,Haploa lecontei
Erebidae,Haploa reversa
Erebidae,Hypena abalienalis
Erebidae,Hypena atomaria
Erebidae,Hypena baltimoralis
Erebidae,Hypena bijugalis
Erebidae,Hypena deceptalis
Erebidae,Hypena edictalis
Erebidae,Hypena eductalis
Erebidae,Hypena humuli
Erebidae,Hypena madefactalis
Erebidae,Hypena manalis
Erebidae,Hypena minualis
Erebidae,Hypena palparia
Erebidae,Hypena scabra
Erebidae,Hypena sordidula
Erebidae,Hypenodes caducus
Erebidae,Hypenodes fractilinea
Erebidae,Hypenula cacuminalis
Erebidae,Hypercompe scribonia
Erebidae,Hyphantria cunea
Erebidae,Hypocala andremona
Erebidae,Hypoprepia fucosa
Erebidae,Hypoprepia miniata
Erebidae,Hypsoropha hormos
Erebidae,Hypsoropha monilis
Erebidae,Idia aemula
Erebidae,Idia americalis
Erebidae,Idia denticulalis
Erebidae,Idia diminuendis
Erebidae,Idia forbesii
Erebidae,Idia lubricalis
Erebidae,Idia majoralis
Erebidae,Idia occidentalis
Erebidae,Idia rotundalis
Erebidae,Idia scobialis
Erebidae,Isogona tenuis
Erebidae,Lascoria ambigualis
Erebidae,Ledaea perditalis
Erebidae,Lesmone detrahens
Erebidae,Lophocampa caryae
Erebidae,Lycomorpha pholus
Erebidae,Lymantria dispar
Erebidae,Macrochilo absorptalis
Erebidae,Macrochilo bivittata
Erebidae,Macrochilo hypocritalis
Erebidae,Macrochilo litophora
Erebidae,Macrochilo louisiana
Erebidae,Macrochilo orciferalis
Erebidae,Melanomma auricinctaria
Erebidae,Melipotis indomita
Erebidae,Melipotis jucunda
Erebidae,Metalectra discalis
Erebidae,Metalectra quadrisignata
Erebidae,Metalectra tantillus
Erebidae,Mocis latipes
Erebidae,Mocis texana
Erebidae,Nychioptera opada
Erebidae,Orgyia definita
Erebidae,Orgyia leucostigma
Erebidae,Pagara simplex
Erebidae,Palthis angulalis
Erebidae,Palthis asopialis
Erebidae,Pangrapta decoralis
Erebidae,Panopoda carneicosta
Erebidae,Panopoda rufimargo
Erebidae,Parallelia bistriaris
Erebidae,Phalaenophana pyramusalis
Erebidae,Phalaenostola eumelusalis
Erebidae,Phalaenostola hanhami
Erebidae,Phalaenostola larentioides
Erebidae,Phalaenostola metonalis
Erebidae,Phoberia atomaris
Erebidae,Phragmatobia assimilans
Erebidae,Phragmatobia fuliginosa
Erebidae,Phragmatobia lineata
Erebidae,Phyprosopus callitrichoides
Erebidae,Phytometra ernestinana
Erebidae,Phytometra rhodarialis
Erebidae,Plusiodonta compressipalpis
Erebidae,Pygarctia spraguei
Erebidae,Pyrrharctia isabella
Erebidae,Redectis vitrea
Erebidae,Renia discoloralis
Erebidae,Renia factiosalis
Erebidae,Renia flavipunctalis
Erebidae,Renia nemoralis
Erebidae,Renia salusalis
Erebidae,Renia sobrialis
Erebidae,Rivula propinqualis
Erebidae,Scolecocampa liburna
Erebidae,Scoliopteryx libatrix
Erebidae,Spargaloma sexpunctata
Erebidae,Spiloloma lunilinea
Erebidae,Spilosoma congrua
Erebidae,Spilosoma dubia
Erebidae,Spilosoma latipennis
Erebidae,Spilosoma virginica
Erebidae,Tathorhynchus exsiccata
Erebidae,Tetanolita floridana
Erebidae,Tetanolita mynesalis
Erebidae,Tetanolita palligera
Erebidae,Thysania zenobia
Erebidae,Utetheisa ornatrix
Erebidae,Virbia aurantiaca
Erebidae,Virbia ferruginosa
Erebidae,Virbia immaculata
Erebidae,Virbia laeta
Erebidae,Virbia nigricans
Erebidae,Virbia opella
Erebidae,Virbia rubicundaria
Erebidae,Zale aeruginosa
Erebidae,Zale bethunei
Erebidae,Zale calycanthata
Erebidae,Zale curema
Erebidae,Zale galbanata
Erebidae,Zale helata
Erebidae,Zale horrida
Erebidae,Zale intenta
Erebidae,Zale lunata
Erebidae,Zale lunifera
Erebidae,Zale metatoides
Erebidae,Zale minerea
Erebidae,Zale obliqua
Erebidae,Zale phaeocapna
Erebidae,Zale undularis
Erebidae,Zale unilineata
Erebidae,Zanclognatha cruralis
Erebidae,Zanclognatha dentata
Erebidae,Zanclognatha jacchusalis
Erebidae,Zanclognatha laevigata
Erebidae,Zanclognatha marcidilinea
Erebidae,Zanclognatha martha
Erebidae,Zanclognatha obscuripennis
Erebidae,Zanclognatha pedipilalis
Erebidae,Zanclognatha protumnusalis
Erebidae,Zanclognatha theralis
Eriocraniidae,Dyseriocrania griseocapitella
Euteliidae,Eutelia pulcherrimus
Euteliidae,Marathyssa basalis
Euteliidae,Marathyssa inficita
Euteliidae,Paectes abrostolella
Euteliidae,Paectes abrostoloides
Euteliidae,Paectes oculatrix
Euteliidae,Paectes pygmaea
Galacticidae,Homadaula anisocentra
Gelechiidae,Agnippe biscolorella
Gelechiidae,Agnippe prunifoliella
Gelechiidae,Anacampsis agrimoniella
Gelechiidae,Anacampsis conclusella
Gelechiidae,Anacampsis fragariella
Gelechiidae,Anacampsis fullonella
Gelechiidae,Anacampsis levipedella
Gelechiidae,Anacampsis rhoifructella
Gelechiidae,Anacampsis tristrigella
Gelechiidae,Anarsia lineatella
Gelechiidae,Aristotelia elegantella
Gelechiidae,Aristotelia fungivorella
Gelechiidae,Aristotelia lespedezae
Gelechiidae,Aristotelia pudibundella
Gelechiidae,Aristotelia roseosuffusella
Gelechiidae,Aristotelia rubidella
Gelechiidae,Arogalea cristifasciella
Gelechiidae,Battaristis concinnusella
Gelechiidae,Battaristis nigratomella
Gelechiidae,Battaristis vittella
Gelechiidae,Chionodes bicostomaculella
Gelechiidae,Chionodes cacula
Gelechiidae,Chionodes discoocellella
Gelechiidae,Chionodes fondella
Gelechiidae,Chionodes formosella
Gelechiidae,Chionodes fuscomaculella
Gelechiidae,Chionodes imber
Gelechiidae,Chionodes mediofuscella
Gelechiidae,Chionodes obscurusella
Gelechiidae,Chionodes pereyra
Gelechiidae,Chionodes praeclarella
Gelechiidae,Chionodes pseudofondella
Gelechiidae,Chionodes thoraceochrella
Gelechiidae,Chrysoesthia drurella
Gelechiidae,Chrysoesthia sexguttella
Gelechiidae,Coleotechnites apicitripunctella
Gelechiidae,Coleotechnites atrupictella
Gelechiidae,Coleotechnites carbonaria
Gelechiidae,Coleotechnites coniferella
Gelechiidae,Coleotechnites eryngiella
Gelechiidae,Coleotechnites florae
Gelechiidae,Coleotechnites quercivorella
Gelechiidae,Coleotechnites thujaella
Gelechiidae,Coleotechnites variiella
Gelechiidae,Deltophora glandiferella
Gelechiidae,Deltophora sella
Gelechiidae,Dichomeris aleatrix
Gelechiidae,Dichomeris bilobella
Gelechiidae,Dichomeris copa
Gelechiidae,Dichomeris costarufoella
Gelechiidae,Dichomeris flavocostella
Gelechiidae,Dichomeris furia
Gelechiidae,Dichomeris georgiella
Gelechiidae,Dichomeris glenni
Gelechiidae,Dichomeris inserrata
Gelechiidae,Dichomeris isa
Gelechiidae,Dichomeris juncidella
Gelechiidae,Dichomeris laetitia
Gelechiidae,Dichomeris leuconotella
Gelechiidae,Dichomeris ligulella
Gelechiidae,Dichomeris nonstrigella
Gelechiidae,Dichomeris ochripalpella
Gelechiidae,Dichomeris punctidiscella
Gelechiidae,Dichomeris punctipennella
Gelechiidae,Dichomeris serrativittella
Gelechiidae,Dichomeris setosella
Gelechiidae,Dichomeris ventrella
Gelechiidae,Dichomeris vindex
Gelechiidae,Exoteleia dodecella
Gelechiidae,Exoteleia pinifoliella
Gelechiidae,Fascista cercerisella
Gelechiidae,Filatima serotinella
Gelechiidae,Frumenta nundinella
Gelechiidae,Gelechia versutella
Gelechiidae,Gnorimoschema gallaesolidaginis
Gelechiidae,Gnorimoschema saphirinella
Gelechiidae,Helcystogramma fernaldella
Gelechiidae,Helcystogramma hystricella
Gelechiidae,Helcystogramma melanocarpa
Gelechiidae,Holophysis emblemella
Gelechiidae,Isophrictis anteliella
Gelechiidae,Isophrictis similiella
Gelechiidae,Metzneria lappella
Gelechiidae,Monochroa angustipennella
Gelechiidae,Monochroa gilvolinella
Gelechiidae,Monochroa quinquepunctella
Gelechiidae,Polyhymno luteostrigella
Gelechiidae,Pseudochelaria pennsylvanica
Gelechiidae,Pseudochelaria walsinghami
Gelechiidae,Pseudotelphusa basifasciella
Gelechiidae,Pseudotelphusa palliderosacella
Gelechiidae,Pseudotelphusa quercinigracella
Gelechiidae,Pubitelphusa latifasciella
Gelechiidae,Recurvaria consimilis
Gelechiidae,Recurvaria nanella
Gelechiidae,Scrobipalpa artemisiella
Gelechiidae,Sinoe chambersi
Gelechiidae,Sinoe robiniella
Gelechiidae,Stegasta bosqueella
Gelechiidae,Strobisia iridipennella
Gelechiidae,Symmetrischema pallidochrella
Gelechiidae,Symmetrischema striatella
Gelechiidae,Telphusa longifasciella
Gelechiidae,Theisoa constrictella
Geometridae,Aethalura intertexta
Geometridae,Anavitrinella pampinaria
Geometridae,Antepione thisoaria
Geometridae,Anticlea multiferata
Geometridae,Anticlea vasiliata
Geometridae,Apodrepanulatrix liberaria
Geometridae,Archiearis infans
Geometridae,Besma quercivoraria
Geometridae,Biston betularia
Geometridae,Cabera erythemaria
Geometridae,Cabera quadrifasciaria
Geometridae,Cabera variolaria
Geometridae,Campaea perlata
Geometridae,Cepphis armataria
Geometridae,Chlorochlamys chloroleucaria
Geometridae,Cladara atroliturata
Geometridae,Cleora sublunaria
Geometridae,Coryphista meadii
Geometridae,Costaconvexa centrostrigaria
Geometridae,Cyclophora nanaria
Geometridae,Cyclophora packardi
Geometridae,Dichorda iridaria
Geometridae,Digrammia continuata
Geometridae,Digrammia decorata
Geometridae,Digrammia denticulata
Geometridae,Digrammia equivocata
Geometridae,Digrammia eremiata
Geometridae,Digrammia gnophosaria
Geometridae,Digrammia mellistrigata
Geometridae,Digrammia ocellinata
Geometridae,Digrammia ordinata
Geometridae,Digrammia pallidata
Geometridae,Digrammia rippertaria
Geometridae,Digrammia subminiata
Geometridae,Disclisioprocta stellata
Geometridae,Dyspteris abortivaria
Geometridae,Dysstroma hersiliata
Geometridae,Ectropis crepuscularia
Geometridae,Ennomos magnaria
Geometridae,Ennomos subsignaria
Geometridae,Epimecis hortaria
Geometridae,Epirrhoe alternata
Geometridae,Epirrita autumnata
Geometridae,Erannis tiliaria
Geometridae,Erastria coloraria
Geometridae,Eubaphe mendica
Geometridae,Euchlaena amoenaria
Geometridae,Euchlaena effecta
Geometridae,Euchlaena irraria
Geometridae,Euchlaena johnsonaria
Geometridae,Euchlaena madusaria
Geometridae,Euchlaena milnei
Geometridae,Euchlaena obtusaria
Geometridae,Euchlaena serrata
Geometridae,Euchlaena tigrinaria
Geometridae,Eufidonia convergaria
Geometridae,Eufidonia notataria
Geometridae,Eugonobapta nivosaria
Geometridae,Eulithis diversilineata
Geometridae,Eulithis gracilineata
Geometridae,Eulithis molliculata
Geometridae,Eumacaria madopata
Geometridae,Euphyia intermediata
Geometridae,Eupithecia miserulata
Geometridae,Eusarca confusaria
Geometridae,Eutrapela clemataria
Geometridae,Glena cribrataria
Geometridae,Glena plumosaria
Geometridae,Glenoides texanaria
Geometridae,Haematopis grataria
Geometridae,Heliomata cycladata
Geometridae,Heterophleps refusaria
Geometridae,Heterophleps triguttaria
Geometridae,Hethemia pistasciaria
Geometridae,Homochlodes fritillaria
Geometridae,Horisme intestinata
Geometridae,Hydrelia albifera
Geometridae,Hydrelia inornata
Geometridae,Hydriomena divisaria
Geometridae,Hydriomena pluviata
Geometridae,Hydriomena transfigurata
Geometridae,Hypagyrtis esther
Geometridae,Hypagyrtis unipunctata
Geometridae,Hypomecis umbrosaria
Geometridae,Idaea bonifata
Geometridae,Idaea demissaria
Geometridae,Ilexia intractata
Geometridae,Iridopsis dataria
Geometridae,Iridopsis defectaria
Geometridae,Iridopsis ephyraria
Geometridae,Iridopsis humaria
Geometridae,Iridopsis larvaria
Geometridae,Iridopsis vellivolata
Geometridae,Isturgia dislocaria
Geometridae,Lambdina canitiaria
Geometridae,Lambdina fervidaria
Geometridae,Lambdina fiscellaria
Geometridae,Lambdina pellucidaria
Geometridae,Leptostales ferruminaria
Geometridae,Lobocleta ossularia
Geometridae,Lobocleta peralbata
Geometridae,Lobocleta plemyraria
Geometridae,Lobophora nivigerata
Geometridae,Lomographa glomeraria
Geometridae,Lomographa semiclarata
Geometridae,Lomographa vestaliata
Geometridae,Lychnosea intermicata
Geometridae,Lycia ursaria
Geometridae,Lycia ypsilon
Geometridae,Lytrosis unitaria
Geometridae,Macaria abruptata
Geometridae,Macaria aemulataria
Geometridae,Macaria aequiferaria
Geometridae,Macaria amboflava
Geometridae,Macaria bisignata
Geometridae,Macaria coortaria
Geometridae,Macaria distribuaria
Geometridae,Macaria evagaria
Geometridae,Macaria exauspicata
Geometridae,Macaria masquerata
Geometridae,Macaria minorata
Geometridae,Macaria multilineata
Geometridae,Macaria notata
Geometridae,Macaria occiduaria
Geometridae,Macaria promiscuata
Geometridae,Macaria pustularia
Geometridae,Macaria ribearia
Geometridae,Macaria sexmaculata
Geometridae,Macaria signaria
Geometridae,Macaria subcessaria
Geometridae,Macaria transitaria
Geometridae,Melanolophia canadaria
Geometridae,Melanolophia signataria
Geometridae,Mellilla xanthometata
Geometridae,Mesoleuca ruficillata
Geometridae,Metanema determinata
Geometridae,Metanema inatomaria
Geometridae,Metarranthis angularia
Geometridae,Metarranthis duaria
Geometridae,Metarranthis homuraria
Geometridae,Metarranthis hypochraria
Geometridae,Metarranthis refractaria
Geometridae,Nematocampa resistaria
Geometridae,Nemoria bistriaria
Geometridae,Nemoria lixaria
Geometridae,Nemoria mimosaria
Geometridae,Nemoria rubrifrontaria
Geometridae,Operophtera bruceata
Geometridae,Orthonama obstipata
Geometridae,Paleacrita merriccata
Geometridae,Paleacrita vernata
Geometridae,Patalene olyzonaria
Geometridae,Pero ancetaria
Geometridae,Pero honestaria
Geometridae,Pero morrisonaria
Geometridae,Petrophora subaequaria
Geometridae,Phaeoura quernaria
Geometridae,Phigalia denticulata
Geometridae,Phigalia strigataria
Geometridae,Phigalia titea
Geometridae,Plagodis alcoolaria
Geometridae,Plagodis fervidaria
Geometridae,Plagodis kuetzingi
Geometridae,Plagodis phlogosaria
Geometridae,Plagodis serinaria
Geometridae,Pleuroprucha insulsaria
Geometridae,Probole alienaria
Geometridae,Probole amicaria
Geometridae,Prochoerodes lineola
Geometridae,Protitame virginalis
Geometridae,Protoboarmia porcelaria
